STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,28/01/2004,,1.34,1235,1220,0.01,,,,57,63,51,,0,260,270,,,,8.1,13,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,29/01/2004,,1.34,1534,1438,0,,,,56,66,46,,0,260,260,,,,8.1,10.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,30/01/2004,,1.57,1503,1628,0,,,,57,66,47,,,260,270,,,,8.9,12.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,31/01/2004,,4.7,1621,1852,0,,,,57,64,50,,0,270,320,,,,12.1,17,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,01/02/2004,,2.24,1604,1600,0,,,,55,64,46,,0,260,280,,,,8.9,14.1,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,02/02/2004,,2.91,2029,2029,0.49,,,,55,63,47,,0,260,260,,,,14.1,19.9,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,03/02/2004,,1.79,1544,1513,0.25,,,,52,60,44,,,220,230,,,,6.9,12.1,,,1,,,,,,,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,04/02/2004,,3.36,1704,2111,0,,,,55,65,45,,0,310,340,,,,12.1,17,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,05/02/2004,,1.12,1426,1425,0,,,,56,66,45,,0,260,270,,,,8.9,13,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,06/02/2004,,1.57,1436,1430,0,,,,57,69,44,,0,260,250,,,,10.1,15,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,07/02/2004,,4.03,1730,1440,0,,,,58,71,45,,0,330,330,,,,16.1,29.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,08/02/2004,,2.01,1527,1527,0,,,,59,71,46,,0,260,270,,,,8.9,13,,,,,,,,,,,,,,,
